～おき,～置き,隔，每隔
きゅうれき,旧暦,旧历，阴历，农历
きよ,寄与,贡献，有助于
きよい,清い,清澈，不混浊的，洁白，清的；纯洁的，（内心）清爽的
きょう,今日,今天，今日，今儿，本日
きょう,強,强者，多，强，有余
きよう,器用,巧，灵巧，精巧，巧妙，手巧
きょうい,驚異,惊异，惊奇，奇事，惊人的事，惊人，奇异
きょういく,教育,教育，教养，文化
きょういん,教員,教员，教师
きょうか,教科,教授科目，课程
きょうか,強化,强化，加强
きょうかい,教会,教会，教堂
きょうかい,境界,境界，疆界，边界
きょうかい,協会,协会
きょうがく,共学,（男女）同校
きょうかしょ,教科書,教科书，课本
きょうかん,共感,同感，共鸣
きょうぎ,競技,比赛，体育比赛，运动比赛
きょうぎ,協議,协议，商议，协商，磋商
ぎょうぎ,行儀,举止，礼貌，礼节；次序，秩序
きょうきゅう,供給,供给，供应
きょうぐう,境遇,境遇，处境，环境，遭遇
きょうくん,教訓,教训，规戒
きょうげん,狂言,狂言，歌舞伎狂言，歌舞伎剧；诡计，骗局；在能乐幕间演的一种滑稽剧
きょうこう,強行,强行，硬干
きょうこう,強硬,强硬，顽强
きょうざい,教材,教材
きょうさく,凶作,歉收
ぎょうざをたべる,餃子を食べる,吃饺子
ぎょうざをつくる,餃子を作る,包饺子
きょうさん,共産,共产
きょうし,教師,教师，教员，老师，传教士
ぎょうじ,行事,（根据计划决定日期举办的）仪式，活动
きょうしつ,教室,教室，课堂，研究室，讲习所
ぎょうしゃ,業者,工商业者，同业者，企业家，商人；同业者
きょうじゅ,教授,教，教授，教学，讲授
きょうじゅ,享受,享受，享有
きょうしゅう,教習,讲习，训练
きょうしゅう,郷愁,乡愁，乡思
きょうしゅく,恐縮,恐惶，（表示客气或谢意）对不起，过意不去，不好意思；羞愧，惭愧
きょうしょく,教職,教师的职务，教导信徒的职务
きょうじる,興じる,兴高采烈，兴致勃勃，高兴
きょうずる,興ずる,感觉有趣，以～自娱，兴高采烈
きょうせい,強制,强制，强迫
ぎょうせい,行政,行政，政务
ぎょうせき,業績,成就，成绩，业绩
きょうそう,競争,竞争，竞赛
きょうぞん,共存,共存，共处
きょうだい,兄弟,兄弟，弟兄，姊妹，亲如兄弟的人，兄弟姐妹
きょうち,境地,环境，处境，境界，心境，境地
きょうちょう,強調,强调，极力主张
きょうちょう,協調,协调，合作，协助；同意
きょうつう,共通,共同
きょうつうご,共通語,普通话，通用的语言，共同语言
きょうてい,協定,协定
きょうと,京都,京都府(位于日本近畿地区的中央)；京都市
きょうど,郷土,乡土，故乡，乡间，地方
きょうどう,共同,共同
きょうとにしたしみをかんじる,京都に親しみを感じる,对京都感到亲切
きょうはく,脅迫,胁迫，威胁，威逼，恫吓
きょうふ,恐怖,恐怖，恐惧，害怕
きょうみ,興味,兴趣，兴味，兴致，兴头
きょうみぶかい,興味深い,很有兴趣，颇有意思
きょうみをそそられる,興味をそそられる,令人感兴趣
ぎょうむ,業務,业务，工作
きょうめい,共鳴,共鸣，共振，谐振，共鸣，同感
きょうよう,教養,教育，修养，教养，文化，素养
きょうり,郷里,乡里，故乡，家乡，老家
きょうりょく,強力,强有力，力量大，强大
きょうりょく,協力,协力，共同努力，配合，合作
きょうれつ,強烈,强烈
ぎょうれつ,行列,行列，队伍，阵，矩阵
きょうわ,共和,共和
きょか,許可,许可，准许，允许，批准
きょかをもらう,許可をもらう,得到许可
ぎょぎょう,漁業,渔业，水产业
きょく,局,房间，屋子，局，司；形势，局面
きょく,曲,曲调，曲子，乐曲，歌曲，调子；歪曲，不正
きょくげん,局限,局限，限定
きょくせん,曲線,曲线
きょくたん,極端,极端
きょじゅう,居住,居住，住址，住处
きょぜつ,拒絶,拒绝
ぎょせん,漁船,渔，捕鱼，渔获量
ぎょそん,漁村,渔村
きょだい,巨大,巨大
きょねん,去年,去年
きょひ,拒否,拒绝，否决，谢绝
きよみずのぶたい,清水の舞台,峭壁上的舞台
きょよう,許容,容许，允许，宽容
きよらか,清らか,清，不混浊，洁净，纯洁，（水）清澈，（眼）明亮
きょり,距離,距离，间隔，差距
きらい,嫌い,嫌恶，厌恶，厌烦，讨厌，厌恶，不爱；有～之嫌；区别，差别
きらう,嫌う,嫌恶，厌恶，嫌，厌烦，憎恶，憎恨；忌避；（不）分
きらく,気楽,舒畅，舒适，舒服，舒坦，轻松；无挂虑，快活
きらびやか,煌びやか,华丽，光辉灿烂，灿烂夺目
きらめく,,（煌く）闪烁，闪耀
きり,切,段落，限度
きり,切り,限度；段落；终结
きり,霧,雾
ぎり,義理,情义，情面，情分，人情，礼节；道理；（由婚姻关系而论的）亲属关系
きりかえる,切り替える,转换，改换，掉换，兑换，更新
きりかえる,切替える,转换，改换，掉换，兑换，更新
きりがない,,没完没了
きりすときょう,キリスト教,（Christ教）基督教
きりつ,規律,纪律，规律，规章，秩序
きりゅう,気流,气流
きりょく,気力,精力，劲头，精神，魄力，气力，元气
きりょくをふりしぼる,気力を振り絞る,竭尽全力
きる,切る,切（肉），割，剁，斩（首），剪（票，头发等），砍（树），拆开；断绝；横穿过去；（扑克）洗牌；除去（水分），澄干；中断；限定；完结，完成；低于；打出王牌；带头做；假装，装做；转换方向；关上（收音机），挂上（电话）；削（球）
きる,斬る,切（肉），割，剁，斩（首），剪（票，头发等），砍（树），拆开；断绝；横穿过去；（扑克）洗牌；除去（水分），澄干；中断；限定；完结，完成；低于；打出王牌；带头做；假装，装做；转换方向；关上（收音机），挂上（电话）；削（球）
きる,着る,穿（衣服），负（罪），承受，承担，担承
きれ,布,布，布匹
きれい,綺麗,美丽，漂亮，好看，洁净；干脆，安全，干干净净
きれめ,切れ目,断开处，裂缝，缝隙；间断，断绝时；段落
きれる,切れる,（头脑）敏锐，有才干，锐利；快；能切；断，（关系）断绝；中断，卖光，亏，不足；偏斜；发（麻）
キロ,kilo,千；见キログラム；见キロメートル
きろく,記録,记载，记录
キログラム,kilogramme,（kg）千克，公斤
キロメートル,kilometre,（km）千米，公里
ぎろん,議論,议论，讨论，辩论，争论，争辩
ぎわく,疑惑,疑惑，疑心，疑虑，怀疑
きわだつ,際立つ,显著，显眼，格外，特别
きわどい,際どい,间不容发的，险些～，危险万分的，紧张的～；下流的
きわめて,極めて,极，非常，极其
きをうしなう,気を失う,失去知觉，不省人事
きをおる,機を織る,织布
きをくばる,気を配る,注意，留心
きをつかう,気を使う,费心机，劳神，操心，小心，留神
きをつける,気をつける,小心，注意
きをつける,気を付ける,注意，小心
きん,金,金，黄金，金子，开金
きん,菌,细菌，真菌，菌
ぎん,銀,银，银钱，银色，银将
きんえん,禁煙,禁止吸烟，戒烟，忌烟
きんがく,金額,金额，款额，钱数
ぎんかくじ,銀閣寺,慈照寺，通称为“银阁寺”，日本室町时代遗留下来的国宝级建筑，位于京都府京都市左京区，属于代表东山文化的临济宗相国寺派
きんがん,近眼,近视，近视眼
きんきゅう,緊急,紧急，急迫，迫不及待，火急
きんぎょ,金魚,金鱼
きんけい,謹啓,（信）敬启者
きんこ,金庫,金库，保险柜，金融机关
きんこう,近郊,近郊，郊区
きんこう,均衡,均衡，平衡，平均
ぎんこう,銀行,银行
ぎんざ,銀座,银座（东京都中央区的一条最繁华的街道）；(德川幕府直辖的)银币铸造厂；大城市的繁华街名；繁荣街
きんし,近視,近视，近视眼
きんし,禁止,禁止
きんじょ,近所,近处，附近，左近，近邻
きんじる,禁じる,禁止，禁忌，戒除
きんずる,禁ずる,禁止，不准，忌，戒
きんせん,金銭,钱，金钱，钱财，钱款
きんせんてき,金銭的,金钱性
きんぞく,金属,金属，五金
きんだい,近代,近代，现代
きんちょう,緊張,紧张，恶化
きんにく,筋肉,肌肉，筋肉
きんぱく,緊迫,吃紧，紧急，紧迫
きんべん,勤勉,勤勉，勤劳，勤奋，勤恳
ぎんみ,吟味,（吟诵诗歌而）仔细体会（其含义或趣味），玩味，（仔细）斟酌，考虑，仔细研究，选择
きんむ,勤務,勤务，工作，服务
きんもつ,禁物,严禁，忌讳，切忌
きんゆう,金融,金融，通融资金，信贷，银根
きんよう,金曜,星期五，礼拜五
きんようび,金曜日,星期五
きんろう,勤労,勤劳，劳动，辛苦
く,句,一些单词的组合，词组，短语，句，句子，语句；（文章，诗歌的）句；俳句（由五，七，五共十七个日本字母组成的短诗）
く,苦,苦，痛苦，苦头，苦处，苦恼，忧虑，担心；劳苦，辛苦
ぐ,具,套，副，组；用具，工具，手段，方法
ぐあい,具合,（事物的）情况，状态，情形，样子，顺利与否，健康情况；（机器）好使与否；适合与否；方法，做法
くい,悔い,悔恨，后悔
くいき,区域,区，地区，范围，区域
くいさがる,食い下がる,不肯罢休；咬住不放
クイズ,quiz,（广播电视节目中的）问答比赛，考问，解答难题，猜谜，智力竞赛，提问，问题
くいちがう,食い違う,不一致，有分歧，有所不同，发生鹢鹴；交错，不合拢
くう,食う,吃（饭），生活；（虫）咬；瞧不起（人）；侵犯，侵占；耗费；遭受，受骗，上当
くうかん,空間,空间，空隙，空的地方，空子
くうき,空気,空气；气氛
くうこう,空港,机场，航空港
くうこうにつく,空港に着く,抵达机场
ぐうすう,偶数,偶数，双数
ぐうぜん,偶然,偶然，偶而，偶然性，偶尔
くうそう,空想,空想，幻想，假设，假想
くうちゅう,空中,空中，天空
くうふく,空腹,空腹，空肚子，空心，饿
クーラー,cooler,室内冷气装置，冷气设备，（携带式）冰箱，空调；冷却器
くうらん,空欄,空白栏，空白处，白纸部分
クォーツ,quartz,（クオーツ）石英表
くかく,区画,区划，划区，区，地区
くかん,区間,区间，段，间距
くき,茎,茎，秆，梗，柄
くぎ,釘,钉，钉子
くぎり,区切り,句读，小段落，段落
くぎる,句切る,加句读，分成段落，隔开，划分，分段；告段落
くぎる,区切る,加句读，分成段落，隔开，划分，分段；告段落
くぐる,潜る,通过，走过，钻过，钻进；潜（水）；钻空子
くさ,草,草，杂草，野草，花草；非正规的，临时的，非专业的，业余的，乡间的
くさい,臭い,臭的，难闻；可疑的；（接在某些名词下表示）有～气味，味道，派头，样子；加强语气
くさり,鎖,锁链，链子；联系，关系
くさる,腐る,腐败，坏；腐蚀，锈，朽，烂，腐烂；腐败，堕落；消沉，气馁，郁闷，沉闷
くし,串,竹签子，铁签子
くし,駆使,驱使，运用；操纵自如，运用自如
くし,櫛,梳子，拢子
くじびき,籤引き,抽签
くしゃみ,嚏,喷嚏
くじょう,苦情,苦情，抱怨，不满意，意见，不平，不满，牢骚，诉苦
くしん,苦心,苦心，费心，费脑筋，费心思，劳苦，费尽心血
